target_id,legal_name,common_name,segment,geography_footprint,key_products,key_customers_public,ownership_status,website_url,last_touch_date,owner,status,integration_complexity,strategic_fit_notes
ff5f31fc-4a57-4763-a510-8b3033760602,Synergy Platform 0 LLC,Target 0,origination,US Nationwide,"Loan servicing, analytics",Public filings,private,https://target0.example.com,2024-08-30,REIT Strategy,active_process,2,Synthetic sample target.
72b16bd0-f24a-49d5-951a-d8e6531ed619,Synergy Platform 1 LLC,Target 1,special_situations,US Nationwide,"Loan servicing, analytics",Public filings,private,https://target1.example.com,2024-08-30,REIT Strategy,sourcing,1,Synthetic sample target.
29caecd0-2568-4c92-8b0f-319e7d8af660,Synergy Platform 2 LLC,Target 2,servicing,US Nationwide,"Loan servicing, analytics",Public filings,private,https://target2.example.com,2024-08-30,REIT Strategy,sourcing,5,Synthetic sample target.
f80667d6-ec4b-432b-b695-daa27f9abca5,Synergy Platform 3 LLC,Target 3,servicing,US Nationwide,"Loan servicing, analytics",Public filings,private,https://target3.example.com,2024-08-30,REIT Strategy,sourcing,3,Synthetic sample target.
e3877615-974f-4b1a-807c-bf03b67f11e9,Synergy Platform 4 LLC,Target 4,data_tech,US Nationwide,"Loan servicing, analytics",Public filings,private,https://target4.example.com,2024-08-30,REIT Strategy,active_process,1,Synthetic sample target.
194db580-b59e-4ca5-a55b-48b47ea489ae,Synergy Platform 5 LLC,Target 5,data_tech,US Nationwide,"Loan servicing, analytics",Public filings,private,https://target5.example.com,2024-08-30,REIT Strategy,sourcing,2,Synthetic sample target.
3994ea3e-a22a-4456-85d0-7767805bb77b,Synergy Platform 6 LLC,Target 6,servicing,US Nationwide,"Loan servicing, analytics",Public filings,private,https://target6.example.com,2024-08-30,REIT Strategy,sourcing,1,Synthetic sample target.
2666fdb9-5dad-446f-a122-f7458b47982b,Synergy Platform 7 LLC,Target 7,special_situations,US Nationwide,"Loan servicing, analytics",Public filings,private,https://target7.example.com,2024-08-30,REIT Strategy,sourcing,4,Synthetic sample target.
b053abf4-2c12-4f37-89ab-f79b847f42d7,Synergy Platform 8 LLC,Target 8,servicing,US Nationwide,"Loan servicing, analytics",Public filings,private,https://target8.example.com,2024-08-30,REIT Strategy,active_process,2,Synthetic sample target.
3a58872d-3e81-4ea6-ba62-2e0134d18b77,Synergy Platform 9 LLC,Target 9,servicing,US Nationwide,"Loan servicing, analytics",Public filings,private,https://target9.example.com,2024-08-30,REIT Strategy,sourcing,5,Synthetic sample target.
b1f907ef-9dac-4c01-9cdf-9f4db73d8c32,Synergy Platform 10 LLC,Target 10,special_situations,US Nationwide,"Loan servicing, analytics",Public filings,private,https://target10.example.com,2024-08-30,REIT Strategy,sourcing,1,Synthetic sample target.
00d47bb6-c108-4625-96b7-b6a2853ca952,Synergy Platform 11 LLC,Target 11,data_tech,US Nationwide,"Loan servicing, analytics",Public filings,private,https://target11.example.com,2024-08-30,REIT Strategy,sourcing,1,Synthetic sample target.
6163b998-a988-468d-bca5-4c38d4612c85,Synergy Platform 12 LLC,Target 12,analytics,US Nationwide,"Loan servicing, analytics",Public filings,private,https://target12.example.com,2024-08-30,REIT Strategy,active_process,5,Synthetic sample target.
e6208e91-3970-4c2e-8ba9-36e6c8c2391e,Synergy Platform 13 LLC,Target 13,servicing,US Nationwide,"Loan servicing, analytics",Public filings,private,https://target13.example.com,2024-08-30,REIT Strategy,sourcing,5,Synthetic sample target.
b550f9f7-a3bb-40cb-aa99-aafced3931ac,Synergy Platform 14 LLC,Target 14,data_tech,US Nationwide,"Loan servicing, analytics",Public filings,private,https://target14.example.com,2024-08-30,REIT Strategy,sourcing,4,Synthetic sample target.
0484187c-686f-450b-b22e-26d427d5859b,Synergy Platform 15 LLC,Target 15,servicing,US Nationwide,"Loan servicing, analytics",Public filings,private,https://target15.example.com,2024-08-30,REIT Strategy,sourcing,2,Synthetic sample target.
dac5967b-9cc0-4645-b05d-1a8c046acb39,Synergy Platform 16 LLC,Target 16,servicing,US Nationwide,"Loan servicing, analytics",Public filings,private,https://target16.example.com,2024-08-30,REIT Strategy,active_process,5,Synthetic sample target.
